Trial,ID,order_hb,arena_hb,act_hb,exp_hb,idate.x,JDate_hb,order_ym,arena_ym,act_ym,soc_ym,idate.y,JDate_ym,sex,min.ta,max.ta,dawn.ta,group.size,mass,fa,total.inf,total.areas,wing.inf,fur.inf,wing.areas,fur.areas,p.zero,sex_pz
9,0006E942C5,7,2,-0.496094015917721,-0.409387981707439,2014-09-03,246,13,A,-1.09913717613156,-0.0657915790145677,2014-09-05,248,M,10.6,25.2,13,9,9.3,39.1,0.1971,58,0.1767,0.3208,48,10,no,M
9,0006E9EBF1,2,1,1.02792813755478,0.380738405955501,2014-09-02,245,8,B,2.91666121426875,1.13099919093146,2014-09-04,247,M,10.6,25.2,13,3,7.3,38.3,0.4647,51,0.4588,0.4924,41,10,no,M
9,0006F1E398,10,1,2.81622718543585,0.0584363218140957,2014-09-03,246,2,B,-2.163533172209,-0.0853237221420477,2014-09-04,247,F,10.6,25.2,13,9,8.3,38.2,0.0643,48,0.0619,0.081,38,10,no,M
9,0006F22AD4,13,2,-0.00862630917617617,-1.47630507263641,2014-09-03,246,10,B,-1.77202293674979,0.0788369314246503,2014-09-04,247,F,10.6,25.2,13,9,12.1,38.4,0.2025,51,0.1859,0.2806,42,9,no,M
9,0006F23BFF,11,2,1.74098866873674,0.556818963068804,2014-09-03,246,12,B,-1.35221076541535,-0.165689121690802,2014-09-04,247,F,10.6,25.2,13,1,8.9,37.5,0.0604,36,0.03571,0.1914,29,7,no,M
9,0006F24BAA,16,1,-0.370010967888741,0.346305119799874,2014-09-03,246,7,A,-1.75674410845616,0.248030369565116,2014-09-04,247,F,10.6,25.2,13,9,8.5,39,0.3394,50,0.341,0.3287,40,10,no,M
10,00069D1349,11,1,0.365249907282286,0.95361813861671,2014-09-06,249,16,B,-0.695417772868995,0.731180837220253,2014-09-07,250,F,8,23.2,9.5,13,14.2,39.5,0.1216,41,0.0841,0.3262,32,9,no,F
10,0006AA127F,10,2,-0.689118720029825,0.864421299402614,2014-09-06,249,14,B,-0.70168173086777,0.240334080622532,2014-09-07,250,F,8,23.2,9.5,13,13.6,37.7,0.1819,38,0.1172,0.5538,31,7,no,F
10,0006C76169,2,2,-0.30627102960992,-0.878293343259202,2014-09-05,248,4,B,-1.168275120691,0.140867634850476,2014-09-07,250,M,8,23.2,9.5,13,13.6,38.9,0.1533,46,0.1313,0.2941,32,14,no,F
10,0006C77BF4,12,2,0.343914566257282,-1.16098764255677,2014-09-06,249,2,B,-1.96939633664482,-0.227523429509089,2014-09-07,250,F,8,23.2,9.5,1,7.5,37.1,0.1079,52,0.0681,0.3618,41,11,no,F
10,0006C86599,8,2,-1.94682972520441,-0.70607396364895,2014-09-06,249,13,A,-0.61447267308,-0.773212336477236,2014-09-07,250,M,8,23.2,9.5,13,12.5,37.8,0.2684,65,0.2312,0.4367,52,13,no,F
10,0006D76E62,13,1,0.20849246026389,-1.48586488202517,2014-09-06,249,15,A,-0.954256131554474,-0.00132862148573543,2014-09-07,250,F,8,23.2,9.5,13,13.5,38.7,0.1591,50,0.0903,0.4777,35,15,no,F
10,0006E91947,1,1,0.57183920684422,-1.76540766170112,2014-09-05,248,12,B,-0.410786739055384,-0.692330113506394,2014-09-07,250,F,3.5,18.9,3.2,12,8.3,37.7,0.1869,42,0.1497,0.3982,31,11,no,F
10,0006EA7863,9,1,4.59341006540575,5.11857471807676,2014-09-06,249,8,B,-0.873271703166896,0.438607053775093,2014-09-07,250,F,8,23.2,9.5,13,9.1,39.3,0.3058,64,0.2745,0.4873,55,9,no,F
10,0006EB42F7,5,1,-3.13954993536143,-2.3241503525073,2014-09-06,249,9,A,-1.91308849233845,0.19112632283919,2014-09-07,250,M,8,23.2,9.5,13,8,38.2,0.1376,39,0.0986,0.3154,28,11,no,F
